generation,criterion,thetta,p1,p2,omega1,omega2
1.0,408.77634126883936,63.11393358997213,2834.8843682655765,3781.9367662719033,26.59448829580493,3.405511704195071
2.0,3707.0355134999627,32.422582669058365,3924.267815513975,422.91245005988304,23.97656755574907,6.023432444250929
3.0,4412.369370841691,46.367452202724024,2148.9238387451946,4270.762987136831,25.888867874512787,4.111132125487213
4.0,203.5791709439325,35.39009348874998,584.3578280058136,4228.382267185601,17.035328113459155,12.964671886540845
5.0,127.83788518592425,74.77643958902357,1465.942831898849,1037.5257168363587,9.124740611547134,20.875259388452868
6.0,2517.9453656210767,58.35409658295743,1828.0292917073396,1438.5797548954818,16.381264912494505,13.618735087505495
7.0,25871.36423359461,11.224235329369302,4459.8378996633,3549.9698522933913,12.746252969480045,17.253747030519953
8.0,25510.676502822935,14.574852535777925,3391.1942540474793,4594.507367376972,4.998857237859139,25.001142762140862
9.0,1.408955421759452,20.06506548476485,231.4729176700106,4069.616967279065,25.726038919034323,4.273961080965677
10.0,89.93905292542678,72.30668682987505,2345.214210476174,942.8637869694726,16.190220445509798,13.809779554490202
11.0,23389.665074067118,39.01411688626794,1306.6570357813505,3689.121920747184,15.319768965804993,14.680231034195007
12.0,5799.673020526864,33.61759530257231,2581.560277105326,1124.2957446601922,23.379443039765516,6.6205569602344845
13.0,22807.595161300356,27.565639579035917,3528.1297492559156,3898.0815920257514,22.40362463434101,7.596375365658989
14.0,6440.945391933836,17.609016095096138,4344.020492377242,728.2910985045327,19.505264054829325,10.494735945170675
15.0,22706.918995970256,31.207438199545624,3298.0497639311056,4480.621373538306,5.522245318031848,24.47775468196815
16.0,707.410730714485,60.979414123001284,2517.5248065601318,1272.7860921587776,21.555230813271713,8.444769186728287
17.0,436.42619419058354,59.02043155973966,3829.956145737718,4360.68455705124,6.262380847780222,23.73761915221978
18.0,113.44487876267675,72.88931629530634,1942.9407073004484,153.19608384549073,7.185713935531439,22.81428606446856
19.0,1893.116089000321,44.29608504277625,4233.380232136112,1655.7148201266782,8.848008159782339,21.15199184021766
20.0,320.895855194093,36.8830429230387,799.2884591282061,2783.414853215952,11.913158668905531,18.08684133109447
21.0,755.5297134049072,54.9918899994959,3709.167157784175,4965.059423132284,18.676232234210033,11.323767765789967
22.0,251.0981173507768,22.176326657257324,1195.6530112351575,4564.347953412581,9.7818538753325,20.2181461246675
23.0,4070.3114113221955,37.491180930276165,3007.8345425674897,2115.9422101799555,14.475344776958428,15.524655223041572
24.0,131.00834527897456,66.92356309164117,3959.584194658746,244.41310322880912,22.625374355800467,7.374625644199533
25.0,19135.165102026036,10.898485013414316,4426.253610162483,1224.1759553304485,24.891485800359774,5.108514199640226
26.0,5634.368063607826,24.64952062268201,4706.423596528143,840.2786416506681,11.755187891056364,18.244812108943634
27.0,11274.146734387665,23.146497675158237,4775.867967259309,2241.106392584356,10.10023132739036,19.89976867260964
28.0,37179.409102132566,34.09511882659216,1566.671779124207,455.6052402712526,8.15069922172382,21.84930077827618
29.0,24357.876428992422,26.177252418105752,2066.916601171925,3191.0272687175775,19.283611278030023,10.716388721969977
30.0,23216.692287264632,13.534847242908493,2678.792692575293,2330.374824623803,6.6196590401375905,23.38034095986241
31.0,17395.755100863513,18.858120853594713,3602.3490671253685,1869.8889367820207,17.57571952351082,12.42428047648918
32.0,2211.6325309982367,39.93014395508202,4941.707429896869,3307.2135386996906,3.94453735642146,26.05546264357854
33.0,322.76179853575735,21.303247989286028,1402.9313161300267,2000.6585729752233,4.363410780895744,25.636589219104255
34.0,1334.0138322288424,44.891159874081616,4894.681202157169,4830.85144842334,24.35644659456046,5.64355340543954
35.0,2702.935010135619,41.70203523169879,3271.6686295897057,3460.2191474119245,16.60662384063377,13.39337615936623
36.0,1110.5458466798887,49.76689772051055,4083.278285486428,3962.5523531426625,19.992627453837596,10.007372546162404
37.0,26785.576896854644,69.76889453294947,1110.5618676175343,755.7945761465496,3.1712750484346826,26.828724951565317
38.0,0.9133572395666194,52.48964315961019,396.7942152382384,1612.8496832852113,7.650909874170945,22.349090125829054
39.0,382.7176906433517,50.94096459098943,664.4872051739118,2539.606473250588,10.647668514850281,19.35233148514972
40.0,231.42616384224158,68.76795289439765,3106.8169004360147,342.1389936363684,5.203416136971186,24.796583863028815
41.0,327.86546859965426,68.27087875099976,2042.7843377572674,2949.2923181927104,12.352556896914452,17.64744310308555
42.0,43.22190571255652,71.47117475315153,4614.591597557561,1742.263387512797,13.974597553562791,16.02540244643721
43.0,6821.968905040028,53.53003717005861,1612.3622185569375,4731.986721342605,20.874733389354674,9.125266610645326
44.0,688.7858510695725,59.886275268662764,2742.96928676755,2630.094553423734,18.15570078452628,11.844299215473718
45.0,340.60170237631746,30.53044781717381,1001.8175006133143,3765.000354155995,11.178908039804773,18.821091960195226
46.0,0.840269613522382,55.93177096576121,104.60604393315408,4162.288863035557,26.98676205774423,3.0132379422557705
47.0,1020.2756023042987,52.193054165946755,3676.9197600861326,3045.1241189381267,21.06146665315164,8.93853334684836
48.0,860.9446251205397,57.05457145231508,2947.1405022032977,1359.391895665324,18.502274325037035,11.497725674962965
49.0,25020.592824290612,16.88706481952473,2292.831947006407,2830.317122811068,13.746500179004933,16.253499820995067
50.0,2109.366090079829,65.5453840564461,906.0641763071635,4911.13553592961,21.80035910568617,8.19964089431383
51.0,3023.6273112947015,41.07510191718742,3131.839200203318,2216.6687050450482,23.660423028590497,6.339576971409503
52.0,13566.567141976308,28.98001663050649,4575.417631683266,2994.3601782546557,14.992015341824638,15.007984658175362
53.0,624.3632785266332,42.548259871839214,951.8083525421195,592.6977283136722,3.7809282793787697,26.21907172062123
54.0,65.823844566578,15.879605261071909,431.13376019844,1529.453138463349,20.30179779630795,9.698202203692048
55.0,389.1903121021655,65.0515844649735,2460.2114872275315,3398.7592642582504,10.359124401001655,19.640875598998345
56.0,422.1318576961195,47.63064673563261,736.3948717892737,3248.5802781317175,8.305761481336555,21.694238518663447
57.0,1909.842490688735,62.41072324647274,1701.0584199216837,1971.9948782020833,25.002116758427164,4.997883241572836
58.0,5572.881126954577,26.971078077712168,4121.057788097818,514.9101774269516,13.21663538550607,16.78336461449393
59.0,12585.674686095515,48.73126303071589,1744.7851357114596,2705.972214036568,6.081281595680105,23.918718404319897
60.0,46.063146066263606,12.344803313608757,294.6106444555367,2419.731826805839,15.663342781003339,14.336657218996661
61.0,6757.003954825561,19.68335156649958,4843.180374492579,1366.1844200441944,8.15069922172382,21.84930077827618
62.0,159.74185206301533,21.115715520242464,944.7906933030516,1268.5675381681835,23.97656755574907,6.023432444250929
63.0,251.33423525484605,19.92730151557335,1345.6759557459404,313.48795958267925,11.098982093362444,18.901017906637556
64.0,12367.737265269028,35.39009348874998,2752.386950164855,2536.6064640445493,16.766693115447783,13.233306884552217
65.0,952.5302359313655,57.20996021662393,2839.1587563667717,2530.672033156367,4.538472239799466,25.461527760200532
66.0,16269.153302725595,31.425504966791365,2104.6229842055554,957.1396826625362,13.822842912787289,16.177157087212713
67.0,165.70090777949065,68.59734395941433,2720.5117972621447,426.22006986159016,10.167488881705527,19.832511118294473
68.0,245.2874576376217,38.1129853463476,636.0346804151576,823.9831117752472,14.294188095571217,15.705811904428783
69.0,0.43727119534298575,73.05137344722708,340.0799883261019,114.74512583177473,25.726038919034323,4.273961080965677
70.0,2032.0752280626987,53.395692216246324,2345.214210476174,2744.776590961498,16.190220445509798,13.809779554490202
71.0,0.5919388058853378,66.7573573860031,563.547726935637,3689.121920747184,9.956478513065324,20.043521486934676
72.0,184.54016973165096,30.573501369872687,642.9874724446581,1196.5125767372538,11.068897292765696,18.931102707234302
73.0,536.3374800657558,37.15912220864405,1012.6814048588245,1479.0536659659836,22.40362463434101,7.596375365658989
74.0,48025.74207904134,17.609016095096138,3149.0359493848123,205.38847213291749,13.383794998968918,16.616205001031084
75.0,25457.019030230287,31.207438199545624,2616.766369261203,4480.621373538306,5.522245318031848,24.47775468196815
76.0,16156.746855793312,16.262524053497348,2517.5248065601318,1272.7860921587776,19.108337739348464,10.891662260651536
77.0,8151.192781852968,25.462038446584494,3231.814421620801,1383.4066802816942,6.262380847780222,23.73761915221978
78.0,5822.509654913128,34.269474330099044,2817.9939517402645,980.8604250640168,10.895510762732721,19.10448923726728
79.0,5151.187477469373,32.865752567946316,2926.483838425425,1655.7148201266782,18.454786490608345,11.545213509391655
80.0,307.300464364273,25.830247421530174,1136.423297556126,1066.6739055588164,23.61821785718247,6.381782142817531
81.0,26077.037207918376,24.109147915499328,3709.167157784175,4965.059423132284,16.208570898201813,13.791429101798187
82.0,8666.848073374429,26.20802861323532,3007.0601278195154,663.5378371856704,14.799335682493414,15.200664317506586
83.0,231.07521789982198,11.135619693149632,2179.688957287089,663.5298055429286,16.945370607819584,13.054629392180416
84.0,415.19593904560503,59.293064346965,3959.584194658746,742.8124750346683,17.422028289708955,12.577971710291045
85.0,25620.67580906264,10.898485013414316,4740.021849600536,4599.339210198636,24.891485800359774,5.108514199640226
86.0,807.735440273608,10.48200247663502,2968.816013374437,222.71587769965936,4.499854547348581,25.50014545265142
87.0,4192.577421786001,34.93560337707673,3213.5826231783544,1491.6106250659948,19.360677366845152,10.639322633154848
88.0,44699.77695644737,17.21143736207425,3431.8500573280116,332.2493461946902,10.660388046790322,19.339611953209676
89.0,16819.841804233773,35.52921691021798,2732.548127001985,3191.0272687175775,17.28547594053066,12.71452405946934
90.0,3388.1970997338904,41.694471543031696,2856.025606154697,2330.374824623803,18.124270538737047,11.875729461262953
91.0,17697.691615479573,18.858120853594713,3860.1160855431,1869.8889367820207,19.431888978012314,10.568111021987686
92.0,6330.428153450687,39.93014395508202,2182.062424518875,1955.188769306343,3.94453735642146,26.05546264357854
93.0,223.61797960333308,21.303247989286028,1173.047124704304,625.3768434752363,13.581924375297573,16.418075624702425
94.0,1047.6849163419124,48.426358477221676,4715.372963946548,4830.85144842334,12.780870503692684,17.219129496307318
95.0,804.3439230878747,55.34522953979474,3480.3341104915908,280.5558461071301,18.01747367166597,11.982526328334028
96.0,58.115909889904565,71.25904054129285,3758.13834972085,103.00568224997684,19.84320159382462,10.15679840617538
97.0,1529.197495052853,51.42640371537878,2964.5034553657433,4481.626889140065,20.63548352230803,9.364516477691971
98.0,2848.257149683996,52.48964315961019,2179.688957287089,663.5298055429286,16.945370607819584,13.054629392180416
99.0,16282.643518694222,22.014466243393127,2462.23264972459,1659.8342714421108,12.482866025758208,17.517133974241794
100.0,605.7169416495902,55.623933315435735,3997.9154660878203,4739.69639389686,5.203416136971186,24.796583863028815
101.0,7823.937655836391,20.42869642154068,3511.9995580491445,228.84599155128143,19.494719800768472,10.505280199231528
102.0,6830.151819249305,19.475218514121813,4614.591597557561,1742.263387512797,13.974597553562791,16.02540244643721
103.0,1528.4122398581276,53.53003717005861,4376.849547161396,284.204786193425,8.657195620930747,21.342804379069253
104.0,3920.071316708337,39.174065006385774,2873.314292346627,2630.094553423734,10.373697981738918,19.626302018261082
105.0,13689.888843100356,14.131926490647345,3182.4604479964537,1168.3542311540102,17.38893935879282,12.611060641207182
106.0,25307.618484576593,55.93177096576121,1546.6134415877796,332.9064082637112,15.244985563401347,14.755014436598653
107.0,19613.891080445228,31.36222637172888,1708.391680973366,1181.7040041963457,10.073646968188116,19.926353031811885
108.0,752.8197681685563,57.05457145231508,3186.5312991079827,3849.5127897759303,18.502274325037035,11.497725674962965
109.0,647.4708012259326,57.913553229777705,3325.775342187999,957.9175343911012,14.104449453687526,15.895550546312474
110.0,5063.568322160045,29.011611863464353,4552.795456011449,1451.2107322120796,7.25343008880992,22.74656991119008
111.0,3892.7963179491085,41.07510191718742,2956.819087396619,1868.6335380002783,6.607444063854364,23.392555936145637
112.0,6243.317878046867,21.865050716923072,4575.417631683266,589.1840555229692,12.399290520707332,17.600709479292668
113.0,1782.847501851868,59.01004028461374,951.8083525421195,592.6977283136722,16.682572989598373,13.317427010401627
114.0,15530.165723334285,15.879605261071909,3074.903629651979,1529.453138463349,11.435572243539307,18.564427756460695
115.0,1141.7038392829927,65.0515844649735,2565.8900337505897,977.0933461985696,3.2907305262177755,26.709269473782225
116.0,33704.70032205424,27.591029005479935,4083.5589647072425,182.03137020394917,15.969308995813426,14.030691004186574
117.0,7062.760901032554,27.28631508500811,2805.9929048412187,760.8743965863538,19.426234708018313,10.573765291981687
118.0,511.52768025285235,59.74251974617653,3923.486147781578,1088.4979731875844,7.729723436846459,22.27027656315354
119.0,24873.27886702736,15.279589049179123,3291.545387265123,2705.972214036568,17.553140575142393,12.446859424857607
120.0,22660.508610987697,10.973125363142156,3513.8336545967354,2263.1936960735056,7.869376046631568,22.13062395336843
121.0,31143.28550731279,21.07954512102691,2965.5862502806817,205.38847213291749,18.441830056904216,11.558169943095784
122.0,4747.271003520609,32.422582669058365,3303.4822376769516,422.91245005988304,21.19311835160192,8.806881648398079
123.0,18499.81096500488,23.613946853040638,2043.050025964239,1632.7279976374489,25.888867874512787,4.111132125487213
124.0,14893.858368472473,35.39009348874998,4085.4421088083086,4546.673271804683,16.766693115447783,13.233306884552217
125.0,15126.93894264414,13.161968578949898,3064.8460413189423,583.230052705396,5.6958702729130195,24.30412972708698
126.0,9811.416689189908,29.432176875903366,2213.00105865564,848.9349149734586,16.820662576617423,13.179337423382577
127.0,44445.92122138058,13.008642765326645,4015.3496229107827,255.36303545025024,13.569208115810499,16.430791884189503
128.0,24065.808302965164,14.574852535777925,4843.336111226386,2659.0076676999925,24.900568969781528,5.099431030218472
129.0,7902.197598223041,15.125966568225213,4530.386077508738,1094.5370664260868,12.82269691952316,17.17730308047684
130.0,1041.1943351303346,53.395692216246324,3315.062585774547,3883.153755359691,12.598297369358372,17.40170263064163
131.0,1788.7018682261507,45.235457624790364,3738.7600345981364,3689.121920747184,17.5005064864576,12.4994935135424
132.0,9035.836566182796,58.563384479034085,1541.885580497543,3745.8565422659694,6.201463776594675,23.798536223405325
133.0,25313.274422026407,23.47444158772379,3528.1297492559156,3937.06144745674,16.900571466104704,13.099428533895296
134.0,27594.718812920193,49.3568395232634,1566.671779124207,633.2447857876077,8.15069922172382,21.84930077827618
135.0,26027.402736392574,19.089851479678238,2653.6743336164573,4480.621373538306,12.389529162482257,17.610470837517745
136.0,6894.400386177812,36.12490045603273,2306.8868180504714,1272.7860921587776,14.405762614449465,15.594237385550535
137.0,468.50192064287836,39.045689671364215,917.0695222026707,1962.793613627377,20.985591481170164,9.014408518829836
138.0,3503.6940175926975,30.549524539202807,4545.048017716403,2325.814579495293,17.736798613462188,12.263201386537812
139.0,390.2119850825268,23.81525205032719,1355.9925202247723,428.03283582927185,18.454786490608345,11.545213509391655
140.0,22692.2843489219,36.8830429230387,1675.3916677615928,2747.586666888065,9.90535421719695,20.09464578280305
141.0,22316.20537178971,18.6736975154937,3709.167157784175,2545.0409382754233,16.208570898201813,13.791429101798187
142.0,6031.632867722839,28.653695243969263,3007.0601278195154,1139.1406888192826,18.883021815237075,11.116978184762925
143.0,2700.2273652605095,45.22917010652256,3007.8345425674897,1375.2996325927277,14.475344776958428,15.524655223041572
144.0,1062.855664708303,59.293064346965,2333.7360323703865,1637.1234725204308,17.422028289708955,12.577971710291045
145.0,2084.8676504794416,42.750762542461004,3784.595145415722,4599.339210198636,24.891485800359774,5.108514199640226
146.0,19186.769836946332,12.548639830800306,2598.8619535025564,840.2786416506681,14.230784254811681,15.769215745188319
147.0,407.1708727294228,57.87116163533343,4775.867967259309,2553.3662865007095,12.527657418131296,17.472342581868702
148.0,25799.371519028544,13.74267794238133,3431.8500573280116,3125.8048705019633,16.341514065373826,13.658485934626174
149.0,7281.9718522402645,26.177252418105752,2687.903385748567,1148.4308435166379,19.283611278030023,10.716388721969977
150.0,37165.450015926304,37.18747737421399,2816.518868173217,570.9788982925152,6.6196590401375905,23.38034095986241
151.0,1800.376629364663,45.649111624288004,3559.1424570956165,4721.817760777648,14.981527320735635,15.018472679264365
152.0,22611.067787623917,23.660208268943048,3060.5404214004707,867.5330080264422,5.681539971885487,24.318460028114515
153.0,19498.59289528325,28.441747653731237,1911.6085050060096,2196.120345177652,4.363410780895744,25.636589219104255
154.0,12356.851199480949,10.09395575080721,4894.681202157169,1191.0216685886567,18.948826923825084,11.051173076174916
155.0,18535.231744518387,50.728866655551656,1433.7065911792288,2168.2022107145285,15.463208604987496,14.536791395012504
156.0,420.9985924543034,60.5132884411194,3491.6105882485585,3962.5523531426625,19.992627453837596,10.007372546162404
157.0,162.29801103959068,15.609274154623321,1395.1595265840367,1432.89125145596,21.871518006354414,8.128481993645586
158.0,936.0030329445117,53.42415636438415,3795.038041678379,663.5298055429286,11.435020896563026,18.564979103436976
159.0,351.38479477113697,61.7120226109982,3536.411309517113,2691.3307986330387,12.482866025758208,17.517133974241794
160.0,4920.769446124974,30.57731724382006,3582.1333823054347,1623.493464758638,13.217907515291488,16.782092484708514
161.0,32299.67600432378,45.86725119565544,2070.7725727020425,228.84599155128143,16.07147231413743,13.92852768586257
162.0,10014.670876002638,18.88027171574072,3269.875881001112,569.3557946557801,13.793599006773832,16.20640099322617
163.0,519.1915003890621,21.455247520629342,1612.3622185569375,140.48078579646005,19.011488956730435,10.988511043269565
164.0,14262.332280185392,33.26826245080679,2873.314292346627,2630.094553423734,8.31370572231616,21.686294277683842
165.0,7851.769209754335,24.901484405261936,3182.4604479964537,1168.3542311540102,8.755257424842561,21.24474257515744
166.0,34945.90266764728,55.93177096576121,2778.607790101374,596.8403643527522,4.153872141826826,25.846127858173176
167.0,7499.0406779947825,18.91291079888778,3987.751738671194,489.7590507357095,17.754668807661552,12.245331192338448
168.0,24444.641210576574,11.620442488721979,4903.940476567772,2724.051724669015,4.165144166637844,25.834855833362155
169.0,16770.578695475335,21.962614525484746,3297.446395823145,1503.7726964575122,3.9834183689221976,26.016581631077802
170.0,51679.76699651209,28.891045329068323,4552.795456011449,221.41175287089828,9.899039405885226,20.100960594114774
171.0,8929.340243973465,36.54701585419792,4880.341270456293,218.50533266343444,6.607444063854364,23.392555936145637
172.0,15462.709519579319,28.98001663050649,4575.417631683266,138.96210968911072,10.186856609957495,19.813143390042505
173.0,316.66928443321757,30.86737129204677,951.8083525421195,2030.2534016014777,13.717063647986256,16.282936352013742
174.0,1816.789308273197,41.795757305043246,4638.180656160102,3692.504627537266,12.583023716147443,17.416976283852556
175.0,6193.181393289951,23.802779623022964,3839.777531461587,1535.0809598966662,11.45669745754717,18.543302542452828
176.0,1937.1044249396991,47.02164354503778,3575.9118742137725,1696.0814776789332,7.776514650743639,22.22348534925636
177.0,2897.9630263458125,36.2750406370631,4209.044413011243,2818.981633683971,12.249435373286783,17.750564626713217
178.0,36905.00889840839,38.602800610158624,4121.057788097818,514.9101774269516,7.83629448509747,22.16370551490253
179.0,24791.064195605846,17.002307488916045,3291.545387265123,2787.7047203895927,17.553140575142393,12.446859424857607
180.0,1413.9948441680122,49.553749569217814,3590.477879096559,2263.1936960735056,9.886092505330685,20.113907494669313
181.0,24841.259937497227,28.891045329068323,4552.795456011449,546.4707867071533,4.133647039285552,25.866352960714448
182.0,3162.9861324421377,32.422582669058365,4566.552012902754,1738.1526116860432,21.19311835160192,8.806881648398079
183.0,13967.527240559866,34.318633457701324,3437.2822183936896,3267.193631649643,3.5785127209015175,26.421487279098482
184.0,8318.049700639498,19.19304883158732,2983.5051820532967,1086.033528285117,16.702306026350126,13.297693973649874
185.0,1864.564420623976,40.79219278524801,4937.358161111733,2856.1330452393818,15.267554770454332,14.732445229545668
186.0,19614.22924220265,12.874423841193389,2681.0684567003773,957.1396826625362,11.06593995408594,18.93406004591406
187.0,38353.00184873884,35.14982040314092,3211.5095111089577,550.8554130388625,7.178796454811923,22.821203545188077
188.0,7786.698611841123,23.32657632189513,3869.347187177658,1585.1822402836658,4.998857237859139,25.001142762140862
189.0,7613.026353658338,15.125966568225213,4530.386077508738,1213.21760445476,12.82269691952316,17.17730308047684
190.0,33510.8251149237,24.38124406226852,3676.3607223307445,508.29130229673825,5.417312453352404,24.582687546647595
191.0,36.43158193730518,72.13956864579922,4688.467463629556,3689.121920747184,8.26253448455272,21.73746551544728
192.0,1082.6940721744759,58.563384479034085,2417.6981829267334,934.9182945156133,14.001383011905865,15.998616988094135
193.0,6375.761499878616,23.47444158772379,3837.04794039633,719.7095191932544,17.183613465260418,12.816386534739582
194.0,19133.340165117053,15.548277160542215,2477.089969629724,990.8389273295643,12.171134652260783,17.828865347739217
195.0,32713.961848647075,32.95901172038346,2653.6743336164573,523.8742916152303,9.53497923613329,20.46502076386671
196.0,1.1840891650553782,37.87119830618846,452.2894453119237,2443.503166850801,20.391181450554484,9.608818549445516
197.0,1478.2828397314238,55.989477634925954,2588.1663649841603,921.4518415010648,9.732799995969106,20.267200004030894
198.0,7456.994092280226,26.975859382887112,2817.9939517402645,1407.742214783119,10.895510762732721,19.10448923726728
199.0,3152.60688501757,32.561130991305596,4936.604311194159,2450.5451577914114,12.605241914927351,17.39475808507265
200.0,24303.9341076243,16.50775665209189,4935.4540670841,3253.542282055095,23.39919094471317,6.600809055286831
201.0,25600.114307056683,18.403240104551998,4780.761170405623,4965.059423132284,12.423263722452937,17.576736277547063
202.0,24041.192811978683,26.20802861323532,3771.2347108758604,4586.080214850206,24.926540240580795,5.073459759419205
203.0,537.2739879593242,56.423361135588316,4415.954189656174,1174.1287469887354,14.475344776958428,15.524655223041572
204.0,22586.999379090274,16.345788230205578,2280.6478561985487,2302.9785751255317,20.471491151067482,9.528508848932518
205.0,3106.469380832409,41.672128199585984,2980.266579613749,3122.6865521375917,14.65498281630278,15.34501718369722
206.0,5337.136236891797,26.235862288008622,4267.294960513665,840.2786416506681,10.081493696877931,19.91850630312207
207.0,864.5862902332237,51.403269551398374,4392.750561003094,4604.49757959596,6.543710750412684,23.456289249587314
208.0,5404.759171452514,24.547322344830867,3946.3452413378227,1626.207750941012,15.804400747749733,14.195599252250267
209.0,18619.77260989093,35.2465884757356,3600.7285632887365,4869.149999633285,16.255626890700764,13.744373109299236
210.0,19765.182736990693,37.18747737421399,4052.195615290436,1039.424223907378,3.0952422834224333,26.904757716577567
